date,temperature,humidity,luminosity
2022-11-10 15:11:35.510,23.1,34.2,178
2022-11-10 15:11:34.233,23.1,34.2,178
2022-11-10 15:11:33.229,23.1,34.2,177
2022-11-10 15:11:31.955,23.1,34.2,177
2022-11-10 15:11:30.951,23.1,34.2,179
2022-11-10 15:11:29.673,23.1,34.2,177
2022-11-10 15:11:28.669,23.1,34.2,177
2022-11-10 15:11:27.396,23.1,34.2,178
2022-11-10 15:11:26.392,23.1,34.2,178
2022-11-10 15:11:25.114,23.1,34.2,177
2022-11-10 15:11:24.110,23.1,34.2,178
2022-11-10 15:11:22.837,23.1,34.2,178
2022-11-10 15:11:21.833,23.1,34.2,177
2022-11-10 15:11:20.554,23.1,34.2,178
2022-11-10 15:11:19.555,23.1,34.2,178
2022-11-10 15:11:18.276,23.1,34.2,177
2022-11-10 15:11:17.274,23.1,34.2,178
2022-11-10 15:11:15.996,23.1,34.2,179
2022-11-10 15:11:14.995,23.1,34.2,177
2022-11-10 15:11:13.717,23.1,34.2,175
2022-11-10 15:11:12.714,23.1,34.2,177
2022-11-10 15:11:11.436,23.1,34.2,177
2022-11-10 15:11:10.437,23.1,34.2,178
2022-11-10 15:11:09.158,23.1,34.2,178
2022-11-10 15:11:08.155,23.1,34.2,177
2022-11-10 15:11:06.881,23.1,34.2,178
2022-11-10 15:11:05.877,23.1,34.2,179
2022-11-10 15:11:04.599,23.1,34.2,178
2022-11-10 15:11:03.595,23.1,34.2,177
2022-11-10 15:11:02.321,23.1,34.2,178
2022-11-10 15:11:01.317,23.1,34.2,177
2022-11-10 15:11:00.040,23.1,34.2,177
2022-11-10 15:10:59.040,23.1,34.2,178
2022-11-10 15:10:57.762,23.1,34.2,178
2022-11-10 15:10:56.758,23.1,34.2,177
2022-11-10 15:10:55.481,23.1,34.2,178
2022-11-10 15:10:54.481,23.1,34.2,176
2022-11-10 15:10:53.203,23.1,34.1,175
2022-11-10 15:10:52.199,23.1,34.1,178
2022-11-10 15:10:50.921,23.1,34.1,177
2022-11-10 15:10:49.922,23.1,34.1,175
2022-11-10 15:10:48.643,23.1,34.0,174
